Order ID,Invoice ID,New Invoice ID,Invoice Reference Number (IRN),Shipment date,Invoice date,GST ID,ASIN,SKU,Item Title,Quantity,Item Cost,GST Rate,CESS Rate,HSN,Warehouse Code/Name,Status,Tax Collected at Source (TCS)
UJW2kNVpt,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UJF7gdB3t,UXHVwdb9t-203x,INVOICE0003,,6 Mar  2024 2:27:42 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CLJKN3CC,VKAMCLEANER0065,Autofy 500GSM - 40cm x 40cm - [Pack of 6] - Microfiber Cloth Double Sided Microfiber Cloth for Car Lint Free Super Soft Plush Car Cleaning Cloth Sueded Edges for Scratch Free Car & Bike Cleaning,1,Rs.100.00,12%,0%,63029400,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UXsPhRBwt,UXHVwdb9t-203x,INVOICE0003,,6 Mar  2024 2:27:42 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Uc2kP5BJt,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8FT1C7,B08V8FT1C7,Autofy Multipurpose Microfiber 800 GSM Pack of 3-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Uw0YNzwdt,UXHVwdb9t-203x,INVOICE0003,,1 Mar  2024 2:16:27 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UwqZtKBHt,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0BW1715DZ,AFWCAUSB0001,Autofy 24W Car Mobile Charger Quick Charge Dual Port USB Fast Car Charger Compatible with All Smartphones Tablets Smart Watches [Model Name: Flare-I  24W],1,Rs.100.00,12%,0%,85044190,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UwdZyS8Nt,UXHVwdb9t-203x,INVOICE0003,,6 Mar  2024 2:27:42 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B01N1RVI18,B01N1RVI18,Autofy Heavy Duty 4 Digit Number Lock Helmet Lock Multipurpose Lock Bike Lock Resettable Combination Lock (Black & Orange - Upgraded 2nd Gen),1,Rs.100.00,12%,0%,83014190,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UNNslx8dt,UXHVwdb9t-203x,INVOICE0003,,7 Mar  2024 12:48:31 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CSPKB5MW,VKAMCLEANER0125,Autofy Brush Rage-1 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush,1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U3VC3bgst,UXHVwdb9t-203x,INVOICE0003,,6 Mar  2024 2:27:42 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UJvDpM8Ct,UXHVwdb9t-203x,INVOICE0003,,7 Mar  2024 12:48:31 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
